country_name,city_name,aqi_value,aqi_category,dominant_pollutant,predicted_aqi,error,risk_level
India,Chandia,154,Unhealthy,PM2.5,154.0,0.0,Unhealthy
Iran (Islamic Republic of),Aligudarz,68,Moderate,PM2.5,68.0,0.0,Moderate
India,Vizianagaram,129,Unhealthy for Sensitive Groups,PM2.5,129.1,0.1,Unhealthy (Sensitive)
India,Fatwa,176,Unhealthy,PM2.5,176.0,0.0,Unhealthy
Brazil,Senges,29,Good,PM2.5,29.0,0.0,Good
United States of America,Shasta Lake,43,Good,PM2.5,43.0,0.0,Good
Ukraine,Pomichna,37,Good,OZONE,37.0,0.0,Good
Russian Federation,Kaltan,35,Good,OZONE,35.0,0.0,Good
United Republic of Tanzania,Igurusi,28,Good,PM2.5,28.0,0.0,Good
Republic of North Macedonia,Valandovo,33,Good,PM2.5,33.0,0.0,Good
United States of America,Los Lunas,72,Moderate,PM2.5,72.0,0.0,Moderate
United States of America,Carthage,60,Moderate,PM2.5,60.0,0.0,Moderate
